Graph,Nodes,Edges,Directed,Source,DFSVisits,DFSEdges,NumSCCs,KahnTime(ns),QueueOps,TopoOrder,DAGSPTime(ns),Relaxations,LongestPathLength,LongestPathComponents,LongestPathTasks
Graph 1,9,8,true,7,9,8,9,387264,18,[1, 2, 6, 7, 8, 4, 5, 3, 0],151061,0,0,[3],[7]
Graph 2,8,8,true,4,8,8,8,39242,16,[3, 5, 6, 7, 4, 2, 1, 0],18188,1,7,[1, 0],[4, 7]
Graph 3,9,18,true,1,9,18,1,21812,2,[0],5125,0,0,[0],[0, 1, 2, 3, 4, 5, 6, 7, 8]
Graph 4,16,8,true,8,16,8,16,42363,32,[2, 6, 8, 9, 10, 11, 13, 14, 15, 1, 3, 5, 7, 12, 0, 4],39862,1,5,[13, 12],[8, 14]
Graph 5,17,13,true,1,17,13,17,76556,34,[0, 6, 7, 9, 11, 12, 13, 14, 15, 16, 5, 8, 10, 1, 4, 3, 2],36083,5,22,[6, 5, 4, 3, 2],[1, 5, 11, 13, 15]
Graph 6,17,90,true,7,17,90,1,36433,2,[0],14279,0,0,[0],[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]
Graph 7,43,45,true,17,43,45,35,102526,70,[4, 5, 6, 7, 22, 23, 24, 26, 27, 28, 29, 32, 33, 34, 1, 17, 19, 20, 25, 21, 30, 31, 0, 18, 16, 3, 8, 11, 12, 13, 15, 2, 9, 10, 14],25892,0,0,[0],[17]
Graph 8,44,49,true,19,44,49,44,154055,88,[8, 11, 13, 14, 21, 24, 26, 31, 32, 33, 34, 35, 37, 38, 39, 40, 41, 42, 43, 16, 20, 10, 22, 25, 28, 30, 23, 36, 27, 15, 19, 7, 9, 12, 29, 0, 2, 17, 18, 5, 6, 1, 4, 3],41206,1,5,[7, 6],[19, 39]
Graph 9,42,130,true,39,42,130,5,81326,10,[3, 4, 2, 1, 0],13911,3,16,[2, 1, 0],[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 30, 31, 32, 33, 34, 35, 37, 38, 39, 40, 41, 29, 16]
